ssn,first_name,last_name,age,state,house
851-94-2061,Jack,Penwarden,52,Virginia,Gryffindor
562-15-9026,Hunt,Crisell,34,New York,Hufflepuff
880-46-2654,Mercedes,Ricard,53,California,Slytherin
921-11-0028,Gavin,Youtead,50,Virginia,Slytherin
653-12-2406,Terza,Divis,60,Nevada,Ravenclaw
663-05-9462,Jenda,Francais,20,South Carolina,Hufflepuff
405-97-0286,Pierrette,Pankettman,35,Oklahoma,Slytherin
963-03-9198,Nicola,Withrington,38,Massachusetts,Slytherin
849-59-5976,Torrie,Dyble,23,Texas,Ravenclaw
480-33-9626,Kittie,Housego,52,Colorado,Hufflepuff
113-31-8200,Bernard,Goretti,30,Texas,Ravenclaw
928-54-2639,Spense,Flinn,59,Ohio,Slytherin
671-47-1984,Adina,Giacomelli,56,District of Columbia,Gryffindor
603-05-8604,Corenda,Hazelgreave,20,Texas,Gryffindor
848-84-3951,Beltran,Symons,54,Michigan,Ravenclaw
188-41-7001,Kris,Vankin,42,Georgia,Hufflepuff
125-41-8734,Bertrando,Gainsborough,48,Michigan,Ravenclaw
481-41-0568,Miranda,Ubsdell,23,Maryland,Gryffindor
745-30-9067,Blake,Ennew,52,Florida,Ravenclaw
892-28-0789,Ursuline,Shillabear,48,Texas,Ravenclaw
668-01-7979,Nolly,Dufore,37,Texas,Slytherin
293-07-8502,Marlie,Crawcour,53,California,Gryffindor
327-51-4389,Billye,Astill,35,Oklahoma,Ravenclaw
448-64-2485,Troy,Beste,18,Minnesota,Ravenclaw
782-17-0810,Huey,Vairow,26,South Carolina,Ravenclaw
348-83-0985,Alie,Pariss,27,Oregon,Hufflepuff
735-06-0327,Sloan,Kaubisch,34,Pennsylvania,Slytherin
612-44-2648,Aldrich,Hake,51,Florida,Ravenclaw
151-34-3098,Matthiew,Palle,57,Tennessee,Gryffindor
697-24-6944,Redd,O' Flaherty,47,Mississippi,Slytherin
697-70-5730,Munroe,Cantillon,49,Ohio,Slytherin
384-19-4324,Jayme,Trenbey,23,Tennessee,Hufflepuff
976-56-7265,Baryram,Littler,59,Texas,Hufflepuff
458-98-8112,Rena,Sired,30,Arizona,Ravenclaw
487-56-7780,Davina,Tothacot,24,Texas,Slytherin
207-78-9459,Howie,Charlson,40,Ohio,Gryffindor
602-67-8688,Una,Tournie,18,Arkansas,Slytherin
307-80-4616,Jo-anne,Pippin,57,Virginia,Hufflepuff
327-01-2498,Natividad,Bortolomei,40,South Dakota,Ravenclaw
623-02-0421,Gaspar,Izakov,23,California,Hufflepuff
264-57-3773,Dominic,Raffels,32,Tennessee,Slytherin
208-31-1830,Kerrill,Drew,59,New York,Ravenclaw
263-74-0816,Kissee,Goskar,43,Idaho,Hufflepuff
519-09-3564,Efrem,Arkcoll,54,Georgia,Ravenclaw
774-52-3222,Tiffany,Bernt,26,Pennsylvania,Ravenclaw
404-84-3264,Karlee,Keymar,21,Michigan,Hufflepuff
270-62-7411,Freedman,Knewstubb,46,Maryland,Gryffindor
963-25-4536,Martynne,Cund,54,Texas,Slytherin
776-04-0975,Kippy,Nezey,37,Florida,Gryffindor
232-96-0002,Cortney,Heeps,33,Michigan,Hufflepuff
922-19-1461,Salmon,Blacksland,37,New York,Gryffindor
